player_id,position,goals,assists,passing_accuracy,key_passes_per_game,interceptions_per_game
3881,D,53,19,89.16,6.95,7.07
3890,F,56,9,44.3,5.35,6.19
3900,F,32,11,57.79,2.07,7.4
3901,F,32,4,90.58,4.64,5.85
3913,D,1,18,53.94,6.18,1.96
3914,F,14,7,83.48,5.3,1.43
3916,F,41,8,8.8,6.51,3.78
3924,F,24,18,29.72,4.92,5.54
3926,F,20,19,43.46,3.45,7.62
3942,M,44,21,6.04,3.94,5.87
3947,F,48,26,93.36,2.74,1.67
3950,M,29,9,17.22,4.18,8.31
3966,F,40,16,19.13,5.55,8.83
3975,F,23,12,55.21,5.98,4.33
3978,F,15,8,26.16,5.34,3.22
3989,F,41,18,72.5,6.69,0.83
3995,M,60,13,3.38,3.02,5.94
4010,F,46,17,20.75,2.8,5.28
4015,F,9,9,27.38,6.78,2.85
4018,M,20,26,53.75,0.75,7.57
4055,M,7,27,2.43,4.64,5.36
4056,M,27,0,71.94,5.41,9.89
4058,F,31,6,64.33,2.06,4.34
4063,F,2,25,15.49,4.9,8.68
4070,D,26,20,36.85,0.5,4.04
4072,F,23,3,82.91,6.28,0.85
4075,F,13,9,38.43,1.74,7.78
4086,M,54,6,90.29,2.93,1.43
4094,D,43,27,13.97,1.31,9.21
4095,D,31,6,74.14,3.48,3.22
4111,D,23,28,87.08,5.03,2.32
4112,M,32,22,75.07,3.33,4.44
4115,M,50,12,90.3,4.56,1.9
4133,M,29,19,59.83,0.32,6.96
4158,M,58,15,89.85,2.84,3.72
4188,F,45,10,83.38,1.24,6.22
4192,M,35,9,63.83,3.18,9.38
4205,F,54,6,31.95,4.03,4.62
4208,D,4,4,97.15,1.55,1.71
4216,F,9,25,59.56,6.14,6.44
4217,F,9,10,35.22,3.74,0.51
4219,M,28,14,7.05,6.81,0.08
4241,D,18,12,86.85,4.4,5.05
4248,M,25,19,40.82,2.58,7.8
4251,D,18,3,47.55,3.68,4.22
4257,F,50,17,42.4,4.03,2.24
4276,F,37,11,91.1,1.7,2.54
4277,D,10,7,24.21,6.22,6.57
4314,D,6,8,51.2,2.12,0.91
4315,D,43,27,9.15,2.25,4.75
4316,D,59,16,50.4,1.68,0.42
4317,D,10,22,87.28,1.49,7.46
4321,M,30,20,97.7,0.36,0.75
4323,D,10,5,82.12,3.51,2.36
4327,M,6,22,66.12,2.51,9.27
4337,D,0,17,13.32,4.87,3.6
4338,D,36,1,44.31,3.54,5.01
4344,D,15,11,38.28,4.36,8.01
4349,M,30,28,62.1,3.7,1.34
4351,D,32,7,50.73,0.77,2.69
4357,F,40,2,80.54,5.41,3.99
4359,M,43,28,88.32,5.97,8.02
4360,F,18,24,25.72,5.1,5.8
4361,F,13,11,80.29,4.03,4.69
4371,D,7,11,78.04,5.62,9.54
4377,F,25,14,38.85,1.88,5.29
4380,F,14,12,7.7,0.84,8.86
4383,F,34,24,81.23,0.38,0.83
4403,M,29,25,23.49,5.16,9.67
4408,F,29,3,1.84,2.92,1.08
4410,D,4,26,99.23,4.54,0.17
4415,D,17,22,63.89,0.81,8.62
4424,M,57,27,52.45,0.17,9.95
4425,M,10,20,39.64,5.46,7.98
4429,F,38,23,6.04,5.75,5.04
4451,M,22,30,49.53,6.92,0.99
4452,M,21,12,48.14,6.96,3.9
4456,M,2,5,51.23,0.29,4.55
4471,D,31,24,3.55,6.99,9.81
4489,D,25,9,77.67,1.52,1.7
4517,D,19,19,58.82,6.34,5.28
4519,D,16,15,93.68,2.05,6.82
4520,D,15,5,5.8,6.49,8.6
4531,F,41,25,75.02,3.22,7.23
4533,M,10,28,17.46,2.3,9.02
4563,D,36,3,23.45,6.53,1.02
4570,M,31,21,36.27,5.21,4.0
4573,M,27,7,70.75,1.33,4.85
4592,M,2,14,65.85,4.73,7.15
4607,D,27,14,70.23,5.7,6.96
4624,D,20,10,55.62,4.38,8.42
4634,D,40,3,67.56,2.9,2.87
4638,D,50,23,43.87,2.0,2.84
4669,D,47,15,16.64,5.57,1.91
4672,M,59,22,85.64,5.01,7.19
4673,M,3,13,53.27,3.86,0.77
4676,F,38,8,80.93,6.38,3.78
4678,D,31,28,53.91,5.5,9.85
4687,M,59,8,80.43,2.52,0.55
4691,M,20,18,56.23,5.7,0.58
4698,M,48,19,38.11,4.66,2.96
4740,D,46,14,68.08,4.69,2.8
4742,M,17,3,65.92,3.86,4.49
4750,F,38,28,21.68,0.96,8.67
4755,D,12,24,65.54,5.93,0.88
4763,F,54,5,50.68,1.23,0.24
4793,D,8,17,85.62,5.56,2.2
4796,D,15,14,52.38,0.6,8.39
4811,D,5,18,18.63,6.63,0.9
4829,D,18,24,30.45,4.5,9.41
4873,D,31,30,99.84,5.24,9.09
4902,F,50,20,78.23,1.7,9.02
5017,D,21,1,86.55,2.58,5.47
5169,F,51,6,65.02,1.56,3.66
5245,M,17,28,2.81,4.83,6.89
5283,D,7,10,30.39,6.2,0.22
5285,D,30,28,96.52,3.11,9.8
5286,D,60,4,2.22,0.44,8.99
5293,D,15,23,15.45,1.56,6.48
5299,F,50,30,84.73,5.43,8.5
5300,M,8,21,71.11,2.21,6.48
5303,F,58,30,38.99,1.3,7.2
5315,D,9,16,46.35,4.21,9.98
5336,M,31,5,76.84,0.18,7.85
5339,D,43,24,98.03,1.39,8.39
5345,F,2,18,85.42,5.0,4.75
5348,M,18,8,57.11,3.26,4.62
5352,M,8,24,77.33,4.44,6.61
5357,F,34,12,21.76,0.54,0.45
5376,M,48,27,43.45,4.91,2.45
5393,D,6,14,46.63,6.45,1.79
5399,M,17,0,63.77,6.04,7.17
5404,D,15,22,51.43,2.26,7.75
5406,M,30,25,84.66,5.65,9.48
5418,D,9,25,75.11,5.88,4.57
5422,D,12,8,26.46,1.37,7.14
5430,M,29,2,89.16,4.37,2.3
5431,M,22,5,31.74,6.6,0.22
5438,M,5,0,89.87,0.1,2.8
5439,M,39,9,16.76,6.79,9.55
5451,D,29,12,71.04,5.61,5.36
5452,D,39,14,68.14,2.39,7.4
5457,F,11,13,37.35,0.47,9.69
5461,F,40,21,73.97,6.06,2.05
5474,D,52,24,61.96,1.07,8.77
5477,D,24,10,37.12,3.92,9.59
5486,M,38,29,42.04,5.86,4.53
5495,F,9,26,85.84,4.82,2.17
5501,D,15,28,89.98,3.79,2.11
5507,D,24,19,16.85,1.32,7.31
5509,M,5,28,42.21,1.05,5.45
5513,M,18,19,84.05,4.47,8.22
5516,F,35,21,55.55,4.97,7.36
5518,F,41,11,80.72,0.15,3.6
5521,F,26,22,13.68,6.81,6.91
5539,M,36,14,25.44,0.42,0.59
5543,D,30,30,76.92,1.5,7.7
5544,F,57,18,32.42,1.93,4.62
5562,M,16,18,14.77,2.27,4.17
5566,M,19,3,30.04,0.11,7.4
5574,F,52,18,94.9,4.95,5.45
5586,D,60,21,60.74,1.77,7.16
5588,M,28,25,72.83,2.79,6.64
5592,M,29,19,46.19,3.16,6.04
5597,F,30,12,27.28,4.48,4.7
5614,D,53,27,86.08,4.45,7.1
5622,D,19,29,68.89,0.2,8.25
5627,D,51,25,63.05,0.92,7.95
5635,D,20,20,60.86,5.19,6.62
5636,D,17,2,17.56,0.64,2.02
5639,M,40,7,16.27,5.66,7.16
5645,M,48,30,60.18,5.51,0.15
5648,M,24,25,10.9,3.93,7.18
5652,F,30,5,71.84,5.49,6.03
5664,D,34,11,61.87,0.32,2.08
5667,D,14,5,29.45,4.97,5.49
5668,D,42,21,59.36,3.32,6.72
5672,M,1,2,97.85,6.46,9.86
5676,M,23,13,41.28,2.09,5.78
5680,F,33,7,54.68,4.76,3.9
5698,F,47,14,1.07,0.38,5.14
5712,D,13,17,80.0,4.51,2.02
5755,D,5,0,35.01,2.54,3.38
5768,M,23,21,14.61,4.47,9.03
5782,M,52,4,25.87,5.05,1.99
5793,D,59,9,66.1,6.47,5.96
5794,F,25,0,9.13,3.53,9.02
5812,M,57,2,95.93,1.02,1.09
5817,M,40,16,22.17,6.62,5.79
5818,M,12,12,95.17,5.7,6.62
5825,F,6,10,37.18,0.36,0.6
5856,D,58,7,73.52,1.08,7.83
5858,D,52,4,62.45,4.24,6.3
5868,M,8,12,76.76,2.5,0.11
5870,M,24,21,1.34,1.65,6.41
5873,M,60,19,67.12,2.06,8.18
5878,F,57,7,27.86,2.59,0.32
5879,F,13,20,72.57,1.72,9.28
5889,D,56,3,36.83,1.61,3.7
5890,M,29,23,74.72,2.08,7.6
5892,M,2,22,56.96,3.57,1.69
5893,M,26,14,5.57,5.21,6.79
5896,M,6,13,99.29,2.25,9.27
5904,F,1,20,36.63,3.12,7.56
5917,D,46,12,24.63,2.96,9.99
5922,M,30,23,63.17,6.64,9.6
5925,D,3,4,95.91,2.82,1.1
5928,F,18,16,79.34,4.2,1.69
5938,D,19,1,43.81,6.17,8.05
5942,D,49,23,20.81,6.0,1.29
5946,D,1,7,99.32,2.85,1.62
5947,M,6,12,20.89,6.19,5.46
5948,D,4,15,35.79,4.72,6.77
5957,M,41,18,73.41,5.92,5.12
5958,F,47,10,24.64,5.85,4.53
5962,F,5,0,64.38,2.31,5.73
5966,D,11,2,24.67,6.58,0.65
5967,D,51,22,76.91,5.69,5.11
5970,D,58,0,41.34,6.28,6.75
5974,M,18,29,17.48,5.09,1.03
5976,M,57,11,6.59,0.37,8.2
5980,F,14,24,20.63,5.46,6.38
5993,D,16,13,69.41,2.77,4.94
6004,M,59,21,77.17,5.4,6.98
6012,D,48,13,31.53,1.73,1.96
6020,F,58,26,17.69,6.75,5.37
6026,F,38,9,30.39,5.21,2.5
6031,F,48,21,66.65,0.38,7.9
6033,M,27,23,40.84,6.54,0.86
6043,M,12,22,39.92,5.71,9.6
6046,F,0,11,45.52,0.65,0.55
6053,F,30,22,24.56,3.22,9.64
6065,D,46,28,83.36,2.73,2.49
6073,M,58,2,14.23,5.73,5.44
6075,F,36,0,19.06,4.0,4.13
6076,F,55,2,32.78,4.97,2.25
6087,M,33,28,97.5,6.82,1.25
6090,M,35,27,92.72,2.25,2.86
6097,F,30,25,5.14,5.34,5.1
6106,M,46,20,19.5,3.64,9.9
6107,D,58,27,37.77,0.93,3.73
6118,F,52,13,25.29,4.3,9.49
6119,M,17,4,79.53,1.66,3.28
6131,M,14,29,63.17,4.74,3.79
6150,D,50,9,73.39,5.3,3.9
6157,M,21,17,89.33,4.67,8.43
6160,F,5,3,91.87,2.59,7.33
6176,D,21,11,35.96,4.3,8.54
6233,M,1,27,50.28,2.58,9.95
6234,F,46,10,85.99,3.12,4.0
6237,F,33,5,35.88,4.06,3.72
6251,D,20,25,89.39,0.35,3.7
6267,F,16,13,98.26,0.41,3.98
6274,D,44,26,21.34,6.86,5.38
6278,D,11,21,48.64,6.23,2.58
6287,D,2,20,64.81,3.98,3.83
6288,F,49,6,87.39,0.96,2.3
6301,M,47,22,11.31,2.82,3.62
6320,F,34,7,95.08,0.32,4.62
6322,F,18,16,81.42,3.63,1.89
6400,F,49,21,81.68,6.23,5.0
6403,M,5,3,48.82,0.1,6.17
6427,M,60,13,77.26,6.85,1.21
6438,M,48,12,47.36,3.9,5.18
6448,F,23,22,16.89,4.7,5.59
6457,M,44,14,2.48,2.1,4.16
6585,F,33,9,73.38,4.21,0.39
6636,D,31,9,34.73,1.69,2.9
6645,M,24,30,89.82,6.07,5.11
6666,D,60,24,57.5,4.11,5.0
6710,D,28,10,70.22,1.49,8.91
6717,M,60,16,82.72,5.24,8.65
6721,F,53,15,46.45,3.54,3.18
6722,M,7,30,77.53,0.35,5.04
6750,D,57,22,70.47,2.98,8.91
6764,F,6,17,67.64,0.48,4.05
6791,F,10,17,32.38,2.07,4.5
6792,D,53,24,7.87,0.32,3.34
6793,M,4,8,19.02,6.11,0.4
6803,D,20,5,87.5,2.12,4.68
6824,M,29,24,1.82,3.37,1.2
6832,D,53,28,64.27,6.37,1.88
6838,F,4,18,17.62,4.16,2.44
6852,D,56,6,91.28,5.59,7.69
6853,D,28,24,0.73,5.61,5.72
6855,F,38,1,47.83,0.58,0.34
6860,D,54,29,31.94,0.29,8.86
6861,D,46,17,58.87,3.72,8.68
6866,M,9,2,41.69,3.19,8.56
6871,F,58,2,24.04,3.56,4.27
6873,F,10,14,95.97,0.68,8.52
6893,D,55,27,86.18,2.36,0.12
6910,M,46,22,74.52,6.92,2.72
6911,D,5,20,24.13,4.78,7.16
6912,D,16,29,9.42,6.63,0.03
6915,F,24,15,12.18,3.57,9.36
6917,F,46,1,85.88,2.91,5.72
6934,F,56,16,62.13,2.42,0.25
6949,F,42,13,41.57,2.34,1.51
6968,D,48,2,51.2,1.7,3.74
6970,F,26,24,98.91,5.0,3.3
6980,M,44,6,75.93,6.26,1.22
6986,M,28,4,79.64,1.76,3.95
6994,M,47,28,61.01,1.91,6.74
7023,M,47,3,18.43,4.52,8.53
7025,M,54,23,16.69,6.75,1.97
7028,D,39,30,21.11,3.35,0.27
7041,D,37,22,98.18,2.44,6.4
7043,F,33,9,53.79,5.66,8.44
7054,D,47,10,40.81,6.36,1.72
7063,M,55,30,25.4,3.24,2.78
7072,D,24,6,33.1,4.19,9.93
7087,M,43,25,91.7,2.85,3.13
7088,M,12,8,49.47,4.13,0.14
7093,M,6,0,88.47,6.82,3.67
7096,D,42,23,36.98,5.32,3.25
7101,M,46,16,6.33,1.28,3.34
7103,F,22,21,40.06,3.88,7.4
7109,D,1,30,4.23,1.85,7.25
7133,F,31,0,60.94,0.27,4.77
7152,D,44,23,14.29,5.07,1.41
7153,M,39,25,94.16,4.51,2.35
7161,M,46,9,57.04,1.99,2.3
7194,M,11,19,72.47,3.05,0.46
7237,D,45,14,98.22,4.93,3.51
7252,M,42,3,26.06,4.02,2.66
7264,D,43,30,48.91,1.06,8.66
7309,D,25,30,71.29,6.85,0.9
7319,D,5,27,6.0,5.07,4.91
7326,M,8,9,56.09,2.45,2.38
7330,D,32,8,62.41,2.68,1.89
7337,D,38,5,21.08,5.29,2.96
7345,D,55,12,51.66,5.98,9.01
7346,M,3,13,68.06,3.04,0.08
7353,D,4,1,75.96,1.57,1.5
7358,D,34,2,14.76,6.33,0.37
7373,M,45,24,13.76,5.1,6.81
7394,F,16,12,40.0,1.3,0.34
7401,D,3,9,13.45,4.38,7.37
7402,D,4,23,43.21,2.98,1.24
7423,D,17,29,25.8,5.31,8.59
7427,F,29,27,43.23,3.78,0.48
7444,M,5,2,19.31,5.04,5.94
7445,D,14,27,67.3,2.24,3.04
7448,M,60,28,4.92,5.69,4.7
7449,D,42,9,49.13,2.72,5.63
7451,M,39,22,91.46,5.57,4.14
7468,M,14,13,54.73,0.59,6.69
7476,M,0,6,89.55,2.43,7.22
7480,F,33,26,68.12,0.2,5.29
7486,D,3,30,81.69,3.14,2.61
7492,D,15,25,58.35,3.69,1.95
7499,D,6,17,65.75,2.35,8.89
7501,M,0,29,68.81,3.0,4.41
7512,M,11,9,74.38,1.35,8.27
7519,D,22,0,27.7,3.41,9.96
7520,M,59,10,37.7,2.13,4.73
7528,F,32,23,48.55,2.91,5.54
7542,D,55,26,12.46,2.7,4.77
7568,D,48,17,78.42,6.57,0.22
7572,D,40,16,14.21,6.29,2.16
7575,M,51,13,31.4,0.77,0.61
7593,D,34,4,32.78,6.74,7.35
7594,D,14,24,33.56,2.43,1.52
7600,M,21,3,53.44,2.69,3.19
7602,M,24,18,25.28,4.98,3.34
7607,M,20,22,35.67,0.77,4.8
7611,F,48,7,53.77,0.1,8.48
7629,M,22,16,43.33,6.69,5.76
7631,D,44,19,9.11,6.41,0.42
7633,M,2,8,9.66,2.88,8.64
7663,F,34,9,14.67,6.71,7.19
7682,M,57,10,18.9,5.77,0.78
7717,F,51,4,46.52,3.05,1.41
7723,D,0,9,15.32,4.47,3.16
7737,M,50,9,43.49,1.35,6.15
7739,M,33,9,1.12,4.94,0.54
7763,M,22,18,6.29,6.79,4.95
7767,F,15,26,77.95,1.33,9.05
7776,D,39,25,74.7,0.24,2.4
7781,D,7,9,1.21,2.07,5.13
7782,M,49,12,20.44,4.88,8.7
7784,M,35,11,53.12,2.52,7.08
7795,M,55,18,89.12,3.01,0.25
7803,D,22,8,16.49,0.07,5.4
7818,M,58,4,45.48,1.73,3.76
7821,F,20,16,29.06,0.32,5.84
7828,D,39,28,9.18,6.23,8.42
7841,F,47,2,24.06,3.0,7.63
7844,F,59,25,23.85,1.48,5.43
7858,F,21,26,2.6,4.08,2.18
7867,F,56,29,14.97,6.5,0.52
7881,D,28,12,95.59,5.18,9.91
7899,F,2,11,98.25,1.15,7.36
7901,D,20,27,66.72,5.92,6.34
7922,F,38,30,80.75,5.4,3.66
7923,M,0,7,30.35,2.78,1.27
7930,F,9,30,77.1,2.87,3.88
7937,D,59,20,96.88,3.27,4.76
7945,M,43,24,99.48,2.97,8.58
7949,M,48,14,28.68,3.8,9.75
7970,D,4,2,91.89,6.54,5.32
7971,F,47,9,88.08,6.43,6.11
7978,F,34,29,45.74,1.02,0.59
7980,F,11,5,97.55,0.85,0.09
7983,M,32,5,17.43,6.71,9.93
7985,M,3,14,64.82,3.27,7.85
7989,M,20,22,13.43,6.7,5.38
8006,M,33,2,68.11,4.49,0.32
8019,F,15,9,72.39,4.45,5.09
8060,M,9,2,37.51,1.58,3.23
8073,F,11,26,76.37,2.06,0.49
8108,M,22,12,44.72,3.47,9.42
8163,D,8,30,56.55,4.57,0.06
8187,F,53,13,58.99,3.17,5.19
8188,F,15,11,45.25,1.0,1.21
8198,F,5,26,74.96,0.58,1.36
8206,M,17,19,0.19,3.22,2.44
8207,D,6,6,6.73,6.07,2.72
8245,M,26,7,37.15,5.8,6.51
8284,D,40,27,69.91,1.42,6.77
8317,D,24,4,50.69,1.46,8.11
8323,M,23,25,70.0,4.76,0.29
8387,M,55,5,75.2,2.85,7.46
8399,M,50,19,56.72,5.53,0.16
8421,D,59,26,62.6,3.76,2.45
8480,M,31,28,98.35,4.67,9.82
8487,F,44,11,39.05,1.62,3.72
8490,M,16,24,23.25,0.93,0.76
8491,F,46,24,6.13,3.14,4.47
8538,M,60,13,64.97,2.21,5.63
8539,M,54,15,10.14,6.71,4.7
8548,D,51,10,30.16,3.15,1.08
8552,F,19,10,41.92,1.76,9.45
8559,F,54,1,59.53,1.23,4.71
8640,M,31,23,21.62,1.95,6.41
8669,D,40,23,49.29,6.92,4.5
8680,D,14,25,38.07,0.81,4.39
8689,M,49,5,66.76,3.89,1.68
8691,M,36,10,53.86,4.43,3.04
8709,D,54,26,28.52,0.92,4.12
8730,M,56,16,32.57,4.66,3.59
8733,D,13,18,50.9,6.87,1.32
8740,D,7,15,9.36,1.24,9.83
8746,D,56,19,33.42,4.48,9.65
8806,M,23,28,56.22,2.83,9.61
8840,D,9,8,8.73,4.23,3.39
8883,F,59,27,56.7,0.94,8.72
